Id,Name,Short description,Gender,Country,Birth year,Death year,Manner of death,Age of death
Q42,Douglas Adams,English writer and humorist,Male,United Kingdom,1952,2001,natural causes,49
Q303,Elvis Presley,American singer and actor (1935–1977),Male,United States,1935,1977,natural causes,42
Q368,Augusto Pinochet,"General, politician of Chile (1915-2006)",Male,Chile,1915,2006,natural causes,91
Q407,Linda Lovelace,"American pornographic actress, later anti-porn activist",Female,United States,1949,2002,accident,53
Q409,Bob Marley,"Jamaican singer, songwriter and musician",Male,Jamaica,1945,1981,natural causes,36
Q410,Carl Sagan,"American astrophysicist, cosmologist, author and science educator",Male,United States,1934,1996,natural causes,62
Q440,Salvador Allende,28th president of Chile (1908–1973),Male,Chile,1908,1973,suicide,65
Q449,Georges Brassens,French singer songwriter and poet,Male,France,1921,1981,natural causes,60
Q475,Eduardo Frei Montalva,President of Chile (1911-1982),Male,Chile,1911,1982,homicide,71
Q512,Vladimir Vysotsky," singer, songwriter, poet and actor",Male,Russia,1938,1980,natural causes,42
Q853,Andrei Tarkovsky," and Russian filmmaker, writer, film editor, film theorist, and theatre and opera director",Male,Russia,1932,1986,natural causes,54
Q862,Joseph Brodsky,Russian-American poet,Male,United States,1940,1996,natural causes,56
Q927,Harry Mulisch,Dutch writer,Male,Netherlands,1927,2010,natural causes,83
Q949,John Bardeen,American physicist and engineer,Male,United States,1908,1991,natural causes,83
Q989,John Paul II,264th pope of the Catholic Church,Male,Poland,1920,2005,natural causes,85
Q997,Andrei Sakharov,nuclear physicist and human rights activist,Male,Russia,1921,1989,natural causes,68
Q1149,Indira Gandhi,Indian Prime Minister and politician (1917-1984),Female,India,1917,1984,homicide,67
Q1203,John Lennon,"English singer and songwriter, founding member of The Beatles (1940-1980)",Male,United Kingdom,1940,1980,homicide,40
Q1224,Carlo Azeglio Ciampi,10th President of Italy,Male,Italy,1920,2016,natural causes,96
Q1254,Kofi Annan,7th Secretary-General of the United Nations (1938-2018),Male,Ghana,1938,2018,natural causes,80
Q1257,Boutros Boutros-Ghali,6th Secretary-General of the United Nations (1922-2016),Male,Egypt,1922,2016,accident,94
Q1260,Kurt Waldheim,"4th Secretary-General of the United Nations, President of Austria (1918-2007)",Male,Austria,1918,2007,natural causes,89
Q1267,Dag Hammarskjöld,"Swedish diplomat, economist, and author (1905-1961)",Male,Sweden,1905,1961,accident,56
Q1276,Leonard Cohen,Canadian poet and singer songwriter,Male,Canada,1934,2016,accident,82
Q1316,Saddam Hussein,Iraqi politician and President,Male,Iraq,1937,2006,capital punishment,69
Q1317,Osama bin Laden,Saudi Arabian founder of al-Qaeda,Male,Saudi Arabia,1957,2011,death in battle,54
Q1381,Dave Arneson,American game designer,Male,United States,1947,2009,natural causes,62
Q1463,Ferdinand Marcos,former president of the Philippines from 1965 to 1986,Male,Philippines,1917,1989,natural causes,72
Q1480,Corazon Aquino,Philippine politician and President (1933-2009),Female,Philippines,1933,2009,natural causes,76
Q1514,Janis Joplin,American singer and songwriter,Female,United States,1943,1970,accident,27
Q1615,Neil Armstrong,American astronaut and the first human to walk on the moon,Male,United States,1930,2012,natural causes,82
Q1618,Charles Lindbergh,"American aviator, author, inventor, explorer, and social activist",Male,United States,1902,1974,natural causes,72
Q1631,Édith Piaf,French singer,Female,France,1915,1963,natural causes,48
Q1638,Primo Nebiolo,Italian sports official and IAAF president,Male,Italy,1923,1999,natural causes,76
Q1646,Françoise Sagan,French writer,Female,France,1935,2004,natural causes,69
Q1666,Jacques Brel,Belgian singer songwriter,Male,Belgium,1929,1978,natural causes,49
Q1698,Serge Gainsbourg,"French singer, songwriter, pianist, film composer, poet, painter, screenwriter, writer, actor and director (1928-1991)",Male,France,1928,1991,natural causes,63
Q1768,Ella Fitzgerald,American jazz singer,Female,United States,1917,1996,natural causes,79
Q1775,Brownie Mary,American medical cannabis activist,Female,United States,1922,1999,natural causes,77
Q1779,Louis Armstrong,"American jazz trumpeter, composer and singer",Male,United States,1900,1971,natural causes,71
Q1802,Daniel Balavoine,French recording artist singer songwriter,Male,France,1952,1986,accident,34
Q2001,Stanley Kubrick,American filmmaker,Male,United States,1928,1999,natural causes,71
Q2022,Cesare Pavese,Italian poet novelist literary critic and translator,Male,Italy,1908,1950,suicide,42
Q2038,François Mitterrand,21st President of the French Republic (1916-1996),Male,France,1916,1996,natural causes,80
Q2040,Giuseppe Farina,Italian racecar driver,Male,Italy,1906,1966,accident,60
Q2104,Mike Hawthorn,British racing driver,Male,United Kingdom,1929,1959,accident,30
Q2105,Jacques Chirac,French statesman and official (1932–2019),Male,France,1932,2019,natural causes,87
Q2125,Jack Brabham,Australian racing driver,Male,Australia,1926,2014,natural causes,88
Q2185,Georges Pompidou,19th President of the French Republic (1911-1974),Male,France,1911,1974,natural causes,63
Q2190,Coluche,French comedian and actor,Male,France,1944,1986,accident,42
Q2196,Pierre Desproges,French humorist,Male,France,1939,1988,natural causes,49
Q2274,Chet Baker,American jazz trumpeter and vocalist (1929-1988),Male,United States,1929,1988,accident,59
Q2514,Willy Brandt,"Chancellor of West Germany (1969–1974), SPD",Male,Norway,1913,1992,natural causes,79
Q2516,Helmut Schmidt,"Chancellor of West Germany (1974-1982), SPD",Male,Germany,1918,2015,natural causes,97
Q2571,Walter Scheel,President of West Germany (1974-1979),Male,Germany,1919,2016,natural causes,97
Q2607,Erich Honecker,German politician (1912-1994),Male,Germany,1912,1994,natural causes,82
Q2643,George Harrison,British musician and lead guitarist of the Beatles (1943-2001),Male,United Kingdom,1943,2001,natural causes,58
Q2737,Louis de Funès,French actor and comedian,Male,France,1914,1983,natural causes,69
Q2750,Bourvil,"French actor, comedian and singer",Male,France,1917,1970,natural causes,53
Q2757,Lech Kaczyński,"Polish politician, democratic oppositionist, ministry of justice, president of Poland (1949-2010)",Male,Poland,1949,2010,accident,61
Q2831,Michael Jackson,American recording artist; singer and songwriter (1958-2009),Male,United States,1958,2009,natural causes,51
Q2998,Amy Johnson,pioneering English aviator,Female,United Kingdom,1903,1941,accident,38
Q3112,Phil Hill,American race car driver,Male,United States,1927,2008,natural causes,81
Q3128,Graham Hill,British racing driver,Male,United Kingdom,1929,1975,accident,46
Q3166,Denny Hulme,New Zealand racing driver,Male,New Zealand,1936,1992,natural causes,56
Q3234,Jochen Rindt,Austrian racing driver,Male,Austria,1942,1970,accident,28
Q3335,George Orwell,English author and journalist,Male,United Kingdom,1903,1950,natural causes,47
Q3925,Grace Kelly,American actress and Princess consort of Monaco,Female,United States,1929,1982,accident,53
Q4145,Patrice O'Neal,"American stand-up comedian, radio personality, and actor (1969-2011)",Male,United States,1969,2011,natural causes,42
Q4227,James Coburn,American actor,Male,United States,1928,2002,natural causes,74
Q4583,Anne Frank,German-born diarist and Holocaust victim (1929-1945),Female,Germany,1929,1945,natural causes,16
Q4593,Rajiv Gandhi,sixth Prime Minister of India (1944-1991),Male,India,1944,1991,homicide,47
Q4612,Marlene Dietrich,German-American actress and singer (1901-1992),Female,United States,1901,1992,natural causes,91
Q4616,Marilyn Monroe,"American actress, model, and singer (1926-1962)",Female,United States,1926,1962,suicide,36
Q4631,Mohamed Morsi,5th President of Egypt (1951-2019),Male,Egypt,1951,2019,natural causes,68
Q4762,Roy Budd,British jazz musician and composer,Male,United Kingdom,1947,1993,natural causes,46
Q5031,Elder Paisios of Mount Athos,Greek Eastern Orthodox monk,Male,Greece,1924,1994,natural causes,70
Q5383,David Bowie,"British singer, musician, and actor (1947-2016)",Male,United Kingdom,1947,2016,natural causes,69
Q5443,Greta Garbo,Swedish-American actress (1905-1990),Female,United States,1905,1990,natural causes,85
Q5444,Pietro Mennea,Italian sprinter and politician (1952-2013),Male,Italy,1952,2013,natural causes,61
Q5577,Salvador Dalí,Spanish artist (1904-1989),Male,Spain,1904,1989,natural causes,85
Q5588,Frida Kahlo,Mexican painter,Female,Mexico,1907,1954,natural causes,47
Q5603,Andy Warhol,American artist and film director and producer (1928-1987),Male,United States,1928,1987,natural causes,59
Q5809,Che Guevara,Argentine Marxist revolutionary,Male,Cuba,1928,1967,extrajudicial killing,39
Q5878,Gabriel García Márquez,"Colombian writer, journalist and Nobel laureate in literature",Male,Colombia,1927,2014,natural causes,87
Q5921,Chuck Berry,"American singer, songwriter and guitarist",Male,United States,1926,2017,natural causes,91
Q5928,Jimi Hendrix,"American guitarist, singer and songwriter",Male,United States,1942,1970,accident,28
Q5950,James Brown,"American singer, songwriter, musician, and recording artist (1933-2006)",Male,United States,1933,2006,natural causes,73
Q5969,Eddie Cochran,American rock and roll pioneer,Male,United States,1938,1960,accident,22
Q6105,Hebe Camargo,"Brazilian recording artist, television host, singer",Female,Brazil,1929,2012,natural causes,83
Q6107,Tupac Shakur,American rapper (1971–1996),Male,United States,1971,1996,homicide,25
Q6711,Allen Ginsberg,American poet,Male,United States,1926,1997,natural causes,71
Q7122,Michel Audiard,French screenwriter and film director,Male,France,1920,1985,natural causes,65
Q7197,Simone de Beauvoir,French writer intellectual existentialist philosopher political activist feminist and social theorist,Female,France,1908,1986,natural causes,78
Q7251,Alan Turing,"British mathematician, logician, cryptanalyst, and computer scientist",Male,United Kingdom,1912,1954,suicide,42
Q7339,Margot Frank,older sister of Anne Frank and survivor,Female,Netherlands,1926,1945,homicide; natural causes,19
Q7346,John Coltrane,American jazz saxophonist,Male,United States,1926,1967,natural causes,41
Q7371,Federico Fellini,Italian filmmaker,Male,Italy,1920,1993,natural causes,73
Q7416,Margaret Thatcher,British stateswoman and prime minister (1925–2013),Female,United Kingdom,1925,2013,natural causes,88
Q7423,Karen Wetterhahn,American chemist,Female,United States,1948,1997,accident,49
Q7474,Rosalind Franklin,"British chemist, biophysicist, and X-ray crystallographer",Female,United Kingdom,1920,1958,natural causes,38
Q7513,Kathleen Lonsdale,Irish crystallographer,Female,United Kingdom,1903,1971,natural causes,68
Q7541,Sally Floyd,American computer scientist,Female,United States,1950,2019,natural causes,69
Q7542,Prince,"American singer, musician, and songwriter",Male,United States,1958,2016,accident,58
Q7555,Jude Milhon,American hacker & author,Female,United States,1939,2003,natural causes,64
Q7833,Boris Vian,"French polymath: writer, poet, musician, singer, translator, critic, actor, inventor and engineer (1920-1959)",Male,France,1920,1959,natural causes,39
Q7934,Frank Herbert,American writer,Male,United States,1920,1986,natural causes,66
Q8006,Akira Kurosawa,Japanese film maker,Male,Japan,1910,1998,natural causes,88
Q8027,Martin Luther King Jr.,"American clergyman, activist, and leader in the American Civil Rights Movement",Male,United States,1929,1968,homicide,39
